assetid,anatomy_model,avg_touches
W01Y111771,Diabetic Foot Complications,1.0
W01E120154,Pancreatic Bile Duct,1.8709677419354838
W01E134141,Mastectomy,1.4
W28662,Strep Throat,2.0
W24131,Osteoarthritis,1.0
W01E116881,Knee,1.0
W01E108140,Pancreas Anatomy,1.0
W01E116593,Rheumatoid Arthritis,1.0
W13383,Abdomen,1.8333333333333333
W01E119982,Large Intestine Cross Section,1.0
W13252,Stomach,1.0
W01E119393,Neck,1.0
W01E116862,HIV Life Cycle,1.0
W01E121341,Abdomen,1.2
W01Y102754,Diabetic Nerve Problem,1.0
W01E123188,Back Pain,1.0
W37627,Diabetic Foot Complications,1.2380952380952381
W38323,Abdomen,1.25
W01E125454,Lymph Nodes around Uterus,1.0
W35064,Skin,1.25
W01E112646,Thorax,1.25
W42789,Liver,1.0
W15309,Liver,1.0
W01E119724,Head,1.0
W13268,Abdomen,1.3333333333333333
W25797,Heart,1.0
W01E118120,HIV/AIDS,1.0
W01Y107212,Spine,2.5
W01E100969,Vasculature,1.0
W38690,Diabetic Retinopathy,1.0
W01E125814,Neck,1.0
W01E115073,Rheumatoid Arthritis,1.0
W36943,Spine,2.0
W42795,Basal Cell Carcinoma,3.0
W01Y100375,Spine,9.066666666666666
W01E102644,Head,1.0
W19338,Multiple Myeloma,1.0
W01E110359,Heart,1.2
W10220,Pancreatic Bile Duct,1.0
W01Y108551,Artery Blockage,2.375
W06650,Vaginal Birth,1.0
W28850,Artery Blockage,1.25
W01E115832,Spine,1.5555555555555556
W01E134375,Spine,2.0
W01E124896,Angina,1.3636363636363635
W01E114409,Shoulder,1.0
W05667,Abdomen,1.3333333333333333
W01E121341,Mastectomy,2.526315789473684
W06239,Thyroid Nodules,1.75
W01E112509,Lung,1.25
W01E134360,Stomach Cross Section,1.0
W01E118399,Neck,2.0
W01Y100674,Stomach,1.0
W01E122018,Gout,1.0
W01E128802,Colon Polyps,1.3076923076923077
W11580,Liver,1.0
W01E123923,Heart,1.7777777777777777
W01E121150,External Beam Radiation,2.0
W15704,Ankylosing Spondylitis,1.0
W01E100252,Eye,3.0
W39703,Irritable Bowel Syndrome,2.0
W01Y110412,Pelvis,1.125
W01E112190,Heart,2.4545454545454546
W01E109806,Heart,1.0
W15704,Diabetic Nerve Problem,1.3333333333333333
W10216,Diabetic Nerve Problem,2.0
W01E107216,Hand,2.0
W01Y104696,Cardiac Catheterization,1.0
W01Y105043,Abdomen,1.0
W01E110577,Spine,2.25
W01E109925,Pancreatic Bile Duct,1.5
W01Y103995,Asthmatic Airways,1.0
W01E107216,Spine,1.0
W01E133865,Spine,1.0
W42867,Diverticulitis,1.0
W01E119391,Squamous Cell Cancer Of The Head And Neck,1.0
W08123,Heart,1.0
W01E128618,Diabetic Foot Complications,1.3333333333333333
W01Y103989,Sinus,1.2857142857142858
W19529,Shoulder,1.0
W01E134237,Gout,1.0
W25715,Pelvis,1.0
W01Y113236,Stroke,1.3333333333333333
W01E120495,Pancreatic Bile Duct,2.0
W01E110044,Asthma Inhaler,1.5
W01E126294,Head,1.3333333333333333
W01E112288,Diabetic Nerve Problem,1.1538461538461537
W37716,Mammography,1.0
W01E131716,Endoscopy,1.0
W01Y101615,Ankylosing Spondylitis,2.0
W01E112288,Back Pain,1.5833333333333333
W01Y108139,Brain,1.0
W01E132597,Ankylosing Spondylitis,1.0
W01E125931,Thyroid Cancer,1.0
W39143,Teeth,1.0
W01E120564,Abdomen,1.2727272727272727
W25845,Ear,2.111111111111111
W01E107645,Urinary System,2.5
W01Y100439,Heart Attack,1.0
W01E100966,Rheumatoid Arthritis,1.0
W01E114374,Vasculature,1.0
W01E115416,Kidney,1.0
W01E107448,Large Intestine Cross Section,2.2
W14289,Varicose Veins,2.2222222222222223
W09477,Vasculature,1.8181818181818181
W01E125661,Thorax,1.0909090909090908
W16019,Heart,1.2142857142857142
W01E107107,Pancreas Anatomy,2.0
W01E119546,Hodgkin's Lymphoma,1.0
W01E134233,Asthma Inhaler,1.0
W43168,Hyperparathyroidism,1.3333333333333333
W01E126996,Pancreatic Bile Duct,1.0
W01E119597,Adam Insulin ,1.0
W01E114437,Osteoporosis,1.0
W01Y101242,Rheumatoid Arthritis,1.0
W01E120273,Hypoglycemia,1.0
W01Y104247,Head,1.5
W06650,Vasculature,1.0
W11100,Pancreatic Bile Duct,1.0
W43024,Diabetic Foot Complications,1.0
W07988,Diabetic Nerve Problem,1.0
W01E126301,Insulin and Glucose,1.0
W06474,Brain,1.7058823529411764
W01E121422,Crohn's Disease,1.0
W15669,Thyroid Nodules,1.3333333333333333
W01E123013,Ankylosing Spondylitis,1.5
W01Y114182,Gallstone Pancreatitis,1.0
W01E125609,Breast,2.0
W01E127969,Neck,1.2222222222222223
W01E131289,Influenza,1.0
W28767,Colon Cancer,1.0
W05171,Neck,1.0
W01E105909,Neck,3.0
W01Y106066,Thyroid Nodules,1.0
W38125,Back Pain,1.0
W01Y100375,Gout,1.0
W36151,Heart,1.0
W01Y103378,Spine,2.5
W01E119716,Pelvis,1.0
W01Y103061,Adam Insulin ,1.5
W01E133287,HIV Life Cycle,1.0
W01E115907,Endoscopy,1.0
W01Y109276,Rheumatoid Arthritis,1.0
W25970,Asthma Inhaler,2.0
W01E112766,Diabetic Retinopathy,1.0
W01E115294,Asthma Inhaler,3.0
W11580,Knee,1.0
W09501,Reproductive,1.2666666666666666
W10220,Kidney Stones,1.0
W31189,Renal Cell Carcinoma,1.0
W37079,Neck,1.0
W01E122010,Irritable Bowel Syndrome,1.0
W01Y103397,Acid Reflux,1.0
W01E117486,Leg,3.0
W49037,Celiac Disease,1.0
W01E100573,Ventricular Fibrillation with Conduction System,2.1666666666666665
W01Y113236,Bladder,1.0
W27348,Dry Eye,1.5
W38303,Basal Cell Carcinoma,1.0
W01E118928,Brain,5.0
W01E115886,Gallbladder Anatomy,1.0
W01E116907,Pancreas Anatomy,1.25
W01E123204,Hiatal Hernia,2.0
W13902,Spine,1.9166666666666667
W13318,Epilepsy,1.0
W19968,Aplastic Anemia,1.0
W07976,Adam Insulin ,2.0
W01E120561,Prostate Anatomy Tour,1.0
W01Y111662,Uterus,1.0
W01E108110,Brain,1.0
W01E128806,Large Intestine Cross Section,1.2
W01E119273,Leg,1.0
W05574,Pelvis,1.0
W39703,Liver,1.0
W43801,Asthma Inhaler,2.0
W15941,Atrial Fibrillation with Conduction System,2.75
W01E130732,Diabetic Foot Complications,1.0
W01E107487,Artery Blockage,1.2
W31995,Knee,1.0
W07955,Ankylosing Spondylitis,1.0
W31189,Oral Herpes,2.0
W01E123915,Artery Blockage,1.125
W01Y110611,Spine,1.5
W01E127095,Dry Eye,1.0
W01Y109270,Breast Cancer,3.5
W38550,Eye,1.0
W01E112281,Mastectomy,1.0
W01E131154,Heart Failure,1.0
W01E115449,Hand,1.0
W15462,Atherosclerosis,1.0
W01E123434,Head,2.0
W01E128896,Gastric Outlet Obstruction,1.0
W03787,Appendicitis,1.6666666666666667
W01E119393,Endoscopy,1.0
W46319,C-Section,2.0
W01E127784,Spine,1.1428571428571428
W01E132627,Lung,1.3333333333333333
W01E101874,Diabetes Type 2 Glucose Transport,1.0
W01E119720,Knee,2.5
W25854,Artery Blockage,1.2352941176470589
W01E115696,Rheumatoid Arthritis,1.0
W01E102702,Thyroid Nodules,1.0
W01E134375,Gout,2.0
W11484,Aortic Valve Stenosis,1.3333333333333333
W01E123919,Hypoglycemia,1.0
W06638,Blister,1.0
W46341,Spine,2.0
W01E120372,Pancreas Anatomy,2.4
W27309,Leg,1.0
W01E119811,Diabetic Nerve Problem,1.4285714285714286
W01E119802,Pancreatic Bile Duct,2.4827586206896552
W01E119718,Thyroid Cancer,1.0
W01E123434,Blood Clot in Vein,1.0
W43140,Ventricular Fibrillation with Conduction System,1.4285714285714286
W02045,Varicose Veins,2.0
W25481,Stroke,1.1428571428571428
W01E120365,Thyroid Nodules,1.0
W28136,Acne Detailed,1.0
W01Y101484,Hand,2.5
W01Y100876,Cardiac Catheterization,1.0
W01E132597,Smokers Lung,1.0
W15704,Varicose Veins,1.0
W01E134237,Stomach,1.5
W01E125368,Prostate Anatomy Tour,1.9090909090909092
W07652,Migraine,1.0
W01E123543,Neck,1.5
W01Y100145,Peripheral Anemia,1.0
W01E118399,Wagner Classification,1.0
W01E133272,Alzheimer's Disease,1.0
W01Y112152,Hypoparathyroidism,1.0
W10631,Mole Mapping,1.0
W01E115449,Endoscopy,1.0
W01Y114182,Torn Rotator Cuff,1.0
W37054,Thyroid Cancer,1.0
W01Y100796,Mastectomy,1.0
W08884,Advanced Atherosclerosis,1.0
W01E126244,Ankylosing Spondylitis,1.0
W27195,Diverticulitis,1.75
W01E119713,Uterus,1.0
W36802,Ankylosing Spondylitis,1.3333333333333333
W37607,Mammography,1.5
W01E118766,Basal Cell Carcinoma,1.0
W01E120496,Chemotherapy IV,1.0
W01Y106450,Kidney Failure,1.0
W01E115674,Rheumatoid Arthritis,1.0
W01E133353,Arm,1.5
W01E126002,Appendicitis,2.0
W01E119724,Sinus,1.0
W01E126243,Kidney Failure,4.0
W26270,Artery Blockage,1.1428571428571428
W01E105638,Hand,2.0
W01E115449,Foot,1.0
W01Y101425,Gallstone Pancreatitis,1.0
W20381,Heart,1.0
W01E116119,Stomach,2.0
W01E110937,Stroke,1.0
W01Y103831,Stomach,1.0
W26869,Shoulder,2.5
W14401,Head,2.0
W01E104113,Teeth,2.0
W01E105564,Varicose Veins,2.0
W09223,C-Section,1.0
W01E110044,Spine,1.0
W01E100403,Cardiac Catheterization,2.0
W10244,Diabetic Foot Complications,1.5
W32173,Advanced Atherosclerosis,2.230769230769231
W01Y101610,Pancreatic Bile Duct,1.6666666666666667
W01E132668,Atrial Fibrillation with Conduction System,1.3333333333333333
W01E115265,Lymph Nodes around Uterus,1.5
W01Y111662,Pelvis,1.2
W09022,Varicose Veins,1.0
W01E118562,GERD,1.8181818181818181
W01Y113812,Leg,1.0
W01Y104017,Low Testosterone,1.0
W01E132518,Thyroid Nodules,1.5
W01E120496,Wagner Classification,1.3333333333333333
W01E104609,Heart,2.111111111111111
W27540,Type 2 Diabetes - Glucose Absorption,1.0
W01Y102618,Large Intestine Cross Section,1.5
W01E104105,Colonoscopy,1.0
W01E128852,Hand,1.0
W19338,Abdomen,2.0
W01E100478,Skin,2.0
W01E113234,Gout,1.0
W01E122632,Neck,1.0
W01E100969,Lymph Node Cross Section,2.0
W01Y102728,Adam Insulin ,1.5
W01Y103400,Thyroid Nodules,1.7272727272727273
W01E105638,Asthma Inhaler,2.0
W01E130733,GERD,1.2857142857142858
W01E117859,Angina,1.1111111111111112
W01E132787,Shoulder,1.0
W27361,High Blood Pressure,1.0
W01Y101535,ALS,1.0
W01E112978,Thyroid Nodules,1.5
W01E130192,Mole Mapping,1.0
W28666,Basal Cell Carcinoma,1.0
W26270,Varicose Veins,1.0
W01E114349,Mammography,1.0
W01E117274,Pancreatic Bile Duct,1.6
W01E121274,Eczema,1.0
W01E131742,Head,2.0
W46239,Heart,1.1
W02719,Shoulder,1.0
W01E134187,Insulin and Glucose,1.0
W01E102122,Pancreatic Cancer,1.0
W01E100464,ADHD,1.0
W01E120591,Pregnancy,1.0
W01E113293,Mammography,1.0
W46539,Neck,1.0
W46078,Spine,1.0
W01E132359,Pancreas Anatomy,1.0
W01E116867,Diabetes Type 2 Glucose Transport,1.0
W01E121883,Urinary Tract Infection,1.0
W10386,Thorax,1.0
W01E123453,Artery Blockage,1.0
W01Y102087,Vasculature,1.4444444444444444
W01E119710,Abdomen,1.0
W01Y105538,Thyroid Nodules,1.0
W01E118852,GERD,1.0
W01Y105516,Cervix Anatomy,1.0
W01E104972,Bladder,1.6666666666666667
W01E126996,Kidney Stones,1.5
W01E115846,Coronary Artery Disease,1.0
W01E129436,Arm,2.3333333333333335
W01E105800,Neck,1.0
W43942,Gallstone Pancreatitis,1.0
W01E124312,Pelvis,2.0
W24301,Esophagus,1.0
W01Y103327,Neck,3.4
W01Y103994,Mastectomy,1.0
W01E119707,Diabetic Nerve Problem,1.6666666666666667
W01Y104017,Shoulder,1.0
W15790,Neck,1.0
W01E106195,Basal Cell Carcinoma (Gross),2.0
W01E112281,Crohn's Disease,3.0
W28587,Thorax,2.0
W01E118928,Heart,2.5
W01E100625,Kidney,2.0
W01E124391,Leukemia,1.0
W20285,Colonoscopy,3.0
W01Y111662,Lung Cancer,1.0
W28767,Insulin and Glucose,1.0
W01E134235,Stomach,1.5
W01E107506,Cardiac Catheterization,1.0
W01E127039,Hepatocellular Carcinoma,1.0
W37468,Urinary System,1.6666666666666667
W01E128746,Gallbladder Anatomy,1.5
W01Y112137,Pregnancy,1.5
W01E102364,Pancreas Anatomy,2.0
W01Y112391,Brain,2.0
W01E124027,GERD,2.0
W01E119811,Pancreatic Bile Duct,1.5
W19540,Diabetic Nerve Problem,1.0
W01E105645,Pancreatic Bile Duct,1.0
W24094,Spine,1.0
W01Y101990,Varicose Veins,2.0
W15333,Osteoarthritis,1.0
W01E131733,Asthmatic Airways,1.0
W01E100969,Thorax,1.0
W01E127039,Liver Cirrhosis,1.0
W01Y112566,Spine,1.4285714285714286
W01E101083,Asthma Inhaler,1.25
W07574,Menopause,1.0
W01E105641,Artery Blockage,1.0
W01E126217,Migraine,1.0
W01Y104776,Vasculature,1.0
W01E129871,Ankylosing Spondylitis,1.5
W01E120414,IUD Placement,1.0
W01E130656,Dry Skin,1.0
W04461,Neck,3.0
W38776,Advanced Atherosclerosis,2.0
W01Y104570,Menopause,2.0
W01Y102400,Lymphatic System,1.0
W01Y106317,Hypoglycemia,2.0
W01E101874,Diabetic Retinopathy,1.0
W24554,Gout,1.0
W01E119013,Basal Cell Carcinoma,1.0
W01Y114159,HPV,1.0
W13403,Rheumatoid Arthritis,1.0
W01E125455,Stinging Insect Allergy,1.0
W01E105641,Skin,1.0
W08198,Prostate Cancer,1.0
W01E113234,Stomach,1.0
W01E106197,Fusiform Aneurysm,1.6
W01E119674,Ear,1.0
W01E133353,Hand,1.6
W01Y103528,Lymphatic System,1.0
W01E101638,Hepatitis C,1.0
W39572,Brain,1.0
W46319,Pelvis,1.0
W01963,Knee,1.0
W01Y102759,Thorax,1.0
W07985,Pancreatic Bile Duct,1.0
W01Y102957,Colonoscopy,1.0
W01E128241,Pneumonia,1.0
W01E126249,MRSA,1.0
W01E111772,Diabetic Nerve Problem,1.0
W01E131744,Diabetic Foot Complications,1.0
W01E132408,Shoulder,2.0
W01E107742,Heart,2.2
W01Y100375,Enlarged Parathyroid Gland,1.0
W13579,Atrial Fibrillation with Conduction System,2.0
W11161,Diabetic Foot Complications,1.5
W43167,Insulin and Glucose,2.0
W07389,Chemotherapy IV,2.0
W01Y111855,Sinus,1.0
W01E105643,Heart Failure,1.0
W01E125601,Urinary Incontinence,4.0
W01E119706,Arm,2.0
W01Y111715,Mole Mapping,1.0
W38901,Back Pain,2.0
W01E119676,Pancreatic Cancer,1.0
W27210,Esophagus,2.0
W35578,Irritable Bowel Syndrome,2.0
W01E105228,Lupus,1.0
W01E110089,Pancreas Anatomy,1.0
W46677,Asthmatic Airways,1.0
W01Y101389,Endometriosis,1.0
W37128,Hodgkin's Lymphoma,1.0
W01E107645,Outer Ear Infection,1.5
W27691,GERD,1.0
W01E116876,Diverticulitis,1.0
W38845,Ulcerative Colitis,2.5
W01E115896,Endometrial Cancer,1.0
W01E120490,Vaginal Birth,2.0
W01E105467,Pancreatic Bile Duct,1.6666666666666667
W01Y101123,Gallbladder Anatomy,2.0
W06650,Thorax,2.0
W01E112288,Artery Blockage,2.0
W34489,Endometriosis,1.0
W01Y107381,Diabetic Nerve Problem,1.2
W01E132509,Ear,1.3333333333333333
W06191,Colonoscopy,1.0
W01Y101337,Asthmatic Airways,1.0
W01E108879,Large Intestine Cross Section,1.0
W01E128896,Neck,1.0
W01E103519,Insulin and Glucose,1.0
W01Y100145,Lymph Nodes around Uterus,1.0
W19239,Anal Fissure,1.0
W01Y103000,Ventricular Fibrillation with Conduction System,1.0
W01E123453,Osteoporosis,1.0
W35823,Pancreatic Bile Duct,1.0
W01E110182,Mohs Surgery,1.0
W01E103450,Heart,3.0
W01E117685,Diabetic Foot Complications,1.0
W01E100010,Large Intestine Cross Section,1.0
W01E125607,Stroke,1.0
W01Y100810,Lung,1.5
W14331,Insulin and Glucose,1.0
W01E100581,HPV,1.0
W01E124260,Spine,1.25
W01E133410,Gallbladder Anatomy,1.0
W28815,Systems,1.3333333333333333
W01Y100989,Esophageal Cancer,1.0
W01E126217,Insulin and Glucose,1.0
W01E128765,Cataract,1.0
W31186,Prostate Brachytherapy,1.0
W36797,Spine,1.0
W43787,Allergic Rhinitis,1.0
W01E113656,Hyperparathyroidism,1.0
W01E127701,Teeth,1.0
W43765,Blood Clot in Vein,1.0
W08690,Kidney Failure,1.0
W11715,Pelvis,1.0
W01E120551,Warts on Skin,1.0
W01E104117,Shingles,2.0
W01E106371,Hypoparathyroidism,1.0
W28328,PCOS,1.0
W01E119076,Brain,1.0
W01E114349,Esophagus,1.5
W01E114427,Osteoarthritis,1.8
W01E112009,Brain,1.0
W01Y103949,Arm,4.0
W01E119706,Asthma Inhaler,1.1666666666666667
W27033,Urinary System,2.0
W38793,Anal Fissure,1.0
W15571,Heart,2.142857142857143
W01E128742,Neck,2.142857142857143
W01E131891,Pneumonia,1.0
W25797,Angina,1.0
W01E102365,Wrist,1.0
W01E118949,Diabetic Retinopathy,1.0
W01E113656,Angina,1.25
W01E118270,Back Pain,1.2
W05700,Brain,1.0
W01E114373,Neck,1.0
W01E119718,Head,2.25
W01E122733,Advanced Atherosclerosis,1.608695652173913
W01E120321,Heart,2.8333333333333335
W38129,Esophagus,2.0
W25051,Chemotherapy IV,1.0
W01E120149,HIV/AIDS,2.0
W01E112542,Lung Cancer,1.3636363636363635
W01E122791,Hepatitis C,1.0
W01E128886,Pancreatic Bile Duct,2.6
W43140,Leukopenia,1.0
W01E125125,Hand,1.0
W01Y102647,Eye,1.0
W01E130643,Heart,3.6333333333333333
W01E114807,Kidney Stones,2.25
W01Y109730,Barrett's Esophagus,1.5
W15122,Irritable Bowel Syndrome,1.0
W01E121878,Lymphatic System,1.0
W08208,Kidney Stones,2.9
W01E133353,Allergic Rhinitis,1.8484848484848484
W01Y114474,Kidney,2.0
W01E123793,Abdomen,1.0
W13683,Gallbladder Anatomy,1.0
W19336,Head,1.0
W01E119799,Heart,1.2222222222222223
W25996,Neck,1.0
W01E114669,Cardiac Catheterization,2.0
W01E115984,Rosacea,4.0
W01E100889,Hypoglycemia,1.0
W01E109020,Warts on Skin,2.0
W06122,Neck,1.3333333333333333
W01E100336,Carpal Tunnel Syndrome,1.0
W01E102365,Abdomen,1.6666666666666667
W01Y107680,Gallstone Pancreatitis,1.0
W05346,Wrist,1.0
W01Y105538,Thyroid Cancer,1.0
W43427,Back Pain,1.0
W01E119067,Heart,1.0
W01E117165,Prostate Brachytherapy,1.0
W01E127502,Astigmatism,1.0
W01E103107,Neck,1.0
W01E106980,Shingles,1.0
W01Y113073,Insulin and Glucose,1.0
W01E119604,Stomach,2.8125
W37468,Pelvis,1.0
W31024,Stomach,1.0
W01E106072,Coronary Artery Bypass Grafting (CABG),1.0
W01E118353,Pelvis,1.0
W25854,Fusiform Aneurysm,1.3333333333333333
W01E133353,Leg,1.2857142857142858
W07652,Kyphosis,1.4
W01E134194,Hepatitis C,1.0
W01E115294,Diabetic Retinopathy,1.5
W01E120154,Thorax,2.3333333333333335
W01E127039,Diabetic Retinopathy,1.0
W01E101661,Diverticulosis,1.0
W01E128883,Stomach,1.0
W01E126830,GERD,1.0
W13252,Diabetic Retinopathy,1.0
W01E112084,Lung,2.0
W01E128408,Ringworm: Tinea Pedis,2.0
W01E134254,Osteoarthritis,1.25
W01E128618,Wrist,1.0
W01E120149,Sinusitis,2.0
W01Y109275,Pelvis,2.0
W01E117099,Foot,3.5714285714285716
W01Y102729,Heart,1.0
W01E112281,Sinus,4.5
W01E133193,Leg,2.2857142857142856
W01E100428,ADHD,1.5
W01E104656,Rheumatoid Arthritis,1.0
W01E125292,Peripheral Artery Disease,1.0
W01E128796,Thorax,1.0
W01Y106623,Neck,3.0
W01E117549,Myelodysplastic Syndrome,1.0
W01Y105671,Lung Cancer,8.25
W01Y103307,Heart,2.0
W01E108477,Pelvis,2.0
W01E112182,Back Pain,2.0
W09341,Colon Polyps,1.0
W01E120149,Diabetic Foot Complications,1.5
W38337,Saccular Aneurysm,1.0
W01E100984,Liver,1.0
W01E125814,Leg,1.6666666666666667
W24694,Thorax,1.0
W01E118270,Ear,1.3333333333333333
W01E118923,Cushing's Syndrome,1.0
W01Y102848,High Blood Pressure,1.0
W13657,Prostate Anatomy Tour,1.5
W20127,Diabetic Nerve Problem,1.7894736842105263
W01E102962,Colon,1.0
W01E110487,Osteoporosis,1.0
W01E118217,Spine,1.75
W01Y104051,Prostate Brachytherapy,1.0
W01E120491,Hand,1.0
W01E125458,Mole Mapping,1.0
W01Y113546,Cardiac Catheterization,1.3333333333333333
W01E123013,Back Pain,2.0
W01E134349,Systems,1.0
W01Y104457,Mitral Valve Regurgitation,1.0
W01E112185,Carpal Tunnel Syndrome,1.0
W01E120155,Diverticulitis,2.0
W01E125292,Neck,1.0
W01E101654,Teeth,1.0
W01Y112532,Thyroid Nodules,1.0
W37716,Insulin and Glucose,1.5
W01E118976,Heart,2.2
W01E134118,Blister,1.0
W01E120154,Anal Fissure,1.625
W01Y114435,Pregnancy,1.5
W11062,Thyroid Nodules,1.0
W25197,Thyroid Nodules,1.5
W01Y107678,Pancreas Anatomy,2.0
W01E118362,Atrial Fibrillation with Conduction System,1.0
W01E113677,Brain,1.0
W48944,Basal Cell Carcinoma,1.0
W01Y101301,Barrett's Esophagus,1.0
W46186,Arm,1.25
W42863,Pancreas Anatomy,1.0
W01E118356,Spine,1.6666666666666667
W01E112190,Brain,1.5
W24827,Rheumatoid Arthritis,1.0
W01Y100329,Spine,3.4444444444444446
W01E125607,Spine,1.0
W01Y101493,Adam Insulin ,1.0
W01E104394,Bladder Cancer,1.0
W01Y107212,Breast,1.0
W01E100043,Neck,1.25
W14289,Mitral Valve Regurgitation,1.0
W01E132518,GERD,1.0
W01E119709,Osteoarthritis,1.0
W02211,Insulin and Glucose,1.0
W34495,Urinary System,1.5714285714285714
W01E103392,Strep Throat,1.0
W01E119671,Blister,1.3333333333333333
W01Y102475,Pancreas Anatomy,1.0
W09181,Abdomen,1.0
W20132,Brain,1.5
W01Y113999,Diabetic Foot Complications,1.0
W01E105766,Strep Throat,1.0
W01E128236,Hand,1.0
W31556,Lung Cancer,1.0
W01E100464,Insulin and Glucose,2.5
W24667,GERD,1.0
W01Y113178,Stomach Cross Section,3.0
W01E127701,Chemotherapy IV,2.0
W01E112086,Varicose Veins,1.0
W31100,Spine,2.0
W01Y101301,Coronary Artery Disease,1.0
W26787,Asthmatic Airways,1.0
W01E129873,Neck,1.5
W01E133353,Breast,1.0
W46647,Diverticulitis,1.6666666666666667
W36622,Warts on Skin,2.0
W19336,Reproductive System,2.0
W06650,Acne,1.0
W01Y106450,Thorax,1.0
W27508,Pelvis,2.0
W01E124486,Neck,1.0
W01E114315,Rheumatoid Arthritis,1.25
W01E110411,Stomach,2.0
W01Y102551,Adam Insulin ,1.0
W01E108214,Pancreatic Bile Duct,1.0
W02303,Diabetic Retinopathy,1.0
W01E102664,Atherosclerosis,1.0
W01E120191,Neck,1.0
W01E127701,Asthma Inhaler,3.0
W01E119167,Pancreas Anatomy,1.5
W01E108357,Diabetic Nerve Problem,1.1666666666666667
W01Y103398,Type 2 Diabetes - Glucose Absorption,1.0
W13688,Low Testosterone,1.0
W01Y103397,Gallbladder Anatomy,1.0
W05498,Hyperparathyroidism,1.0
W20327,Diabetic Nerve Problem,1.0
W01Y111663,Vaginal Birth,1.5714285714285714
W01Y102996,Ventricular Fibrillation with Conduction System,1.2
W01E105678,Abdomen,2.2857142857142856
W01Y102942,Mohs Surgery,1.0
W01E132597,ABCDE Moles,1.0
W01Y101782,Rheumatoid Arthritis,1.0
