asset_id,jun_avg_timeout_sessions,jun_avg_Crash_sessions,jun_avg_exit_sessions,jul_avg_timeout_sessions,jul_avg_Crash_sessions,jul_avg_exit_sessions,aug_avg_timeout_sessions,aug_avg_Crash_sessions,aug_avg_exit_sessions,sept_avg_timeout_sessions,sept_avg_Crash_sessions,sept_avg_exit_sessions,oct_avg_timeout_sessions,oct_avg_Crash_sessions,oct_avg_exit_sessions,nov_avg_timeout_sessions,nov_avg_Crash_sessions,nov_avg_exit_sessions
W01240,,,,,,,,,,1.0,,,,,,,,
W01E125563,,,,,,,,,,1.0,,,,,,,,
W01E129362,,,,2.0,,,,,,,,,,,,,,
W01E108964,1.375,,,,,,,,,,,,,,,,,
W01E132558,1.5,,,,,,,,,,,,,,,,,
W01E120601,,,,,,,,,,1.8571428571428572,,,,,,,,
W01E126612,,,,1.0,,,,,,,,,,,,,,
W01E128142,,,,,,,1.6666666666666667,,,,,,,,,,,
W01E121551,,,,,,,4.8,,,,,,,,,,,
W01E100703,,,,,,,,,,2.25,,,,,,,,
W01E118598,,,,,,,,,1.0,,,,,,,,,
W01E105183,,,,,,,,,,3.4285714285714284,,,,,,,,
W01E127426,,,,,,,,,,1.0,,,,,,,,
W01E106645,,,,,,,,,,,,,2.0,,,,,
W01E123855,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E103758,,,,2.0,,,,,,,,,,,,,,
W01E121700,,,,,,,,,,,,,1.5,,,,,
W01E119738,,,,,,,,,1.0,,,,,,,,,
W01E124827,,,,2.0,,,,,,,,,,,,,,
W01E113608,,,,,,,,,,2.8666666666666667,,,,,,,,
W01E134551,,,,,,,,,,,,,1.125,,,,,
W01E129717,,,1.2962962962962963,,,,,,,,,,,,,,,
W01E107438,,,,,,,,,,,,,1.0,,,,,
W01E114234,,,,,,,,,,1.7,,,,,,,,
W01E120678,,,,,,,,,,2.5454545454545454,,,,,,,,
W01E129973,,,,,,,,,,,,,,,,1.0,,
W01E109541,1.25,,,,,,,,,,,,,,,,,
W01Y102668,,,,,,,,,,,,,1.4285714285714286,,,,,
W01E134545,,,,1.4166666666666667,,,,,,,,,,,,,,
W01E126593,,,,,,,,,,,,1.0,,,,,,
W01Y105067,,,,,,,1.0,,,,,,,,,,,
W01E101317,,,,,,,1.0,,,,,,,,,,,
W01E119324,,,,,,,,,,,,,1.0,,,,,
W01E108274,,,,,,,,,,,,1.0,,,,,,
W01Y102666,1.6666666666666667,,,,,,,,,,,,,,,,,
W01E126437,,,,,,,1.1818181818181819,,,,,,,,,,,
W01Y103709,,,,,,,1.8333333333333333,,,,,,,,,,,
W01E109918,,,,1.0,,,,,,,,,,,,,,
W01E128003,1.5714285714285714,,,,,,,,,,,,,,,,,
W01E121068,,,,,,,,,,,,,1.6111111111111112,,,,,
W01E117440,,,,,,,,,,,,,,,,1.5714285714285714,,
W01E110554,2.125,,,,,,,,,,,,,,,,,
W01E124292,,,,,,,1.25,,,,,,,,,,,
W01E101716,,,,,,,,,,,,,,,,1.6,,
W01E128003,,,,,,1.0,,,,,,,,,,,,
W01E129987,,,,,,,,,,,,,2.0,,,,,
W01E125319,1.0,,,,,,,,,,,,,,,,,
W01E105784,,,,,,,1.0,,,,,,,,,,,
W01E109298,,,,,,,,,,2.6818181818181817,,,,,,,,
W01E132623,,,,,,,,,,,,,,,,2.3333333333333335,,
W01E128319,,,,,,,,,,1.3333333333333333,,,,,,,,
W01E123764,1.75,,,,,,,,,,,,,,,,,
W01E123144,,,,,,,,,,1.375,,,,,,,,
W01E128966,,,,1.2857142857142858,,,,,,,,,,,,,,
W01E102584,,,,,,,,,,,,,,,,1.5,,
W01E126519,,,,1.5454545454545454,,,,,,,,,,,,,,
DW03763,,,,,,,2.5555555555555554,,,,,,,,,,,
W01E117644,,,,,,,1.5,,,,,,,,,,,
W01E110458,,,,,,,1.2,,,,,,,,,,,
W01E126616,,,,,,,,,,,,,1.6666666666666667,,,,,
W01E109487,,,1.0,,,,,,,,,,,,,,,
W01E127358,,,,,,,,,,,,,2.35,,,,,
W01E123473,,,,,,,,,,4.142857142857143,,,,,,,,
W01E126389,2.3333333333333335,,,,,,,,,,,,,,,,,
W01E133923,,,,,,,,,,,,,2.1,,,,,
W01E124047,,,,1.2222222222222223,,,,,,,,,,,,,,
W01E128463,,,,,,,1.7333333333333334,,,,,,,,,,,
W01E121935,4.461538461538462,,,,,,,,,,,,,,,,,
W01E114104,,,,,,,,,,,,,3.7058823529411766,,,,,
W01E105949,2.5,,,,,,,,,,,,,,,,,
W01E119738,,,,,,,,,,,,,1.75,,,,,
W01E104803,,,,,,,,,,,,,,,,1.2857142857142858,,
W01E123922,,,,,,,,,,,,,1.8888888888888888,,,,,
W01E126600,,,,,,,,,,,,1.0,,,,,,
W01E106027,1.5,,,,,,,,,,,,,,,,,
W01E105120,,,,1.875,,,,,,,,,,,,,,
W01E111719,,,,,,,1.0,,,,,,,,,,,
W01E132065,,,,,,,,,,,,,1.2,,,,,
W01E123648,,,,,,,,,,1.7333333333333334,,,,,,,,
W01E104938,,,,,,,2.5,,,,,,,,,,,
W01E104305,,,,,,,,,,,,,,,,1.0,,
DW03763,,,,,,,,,,1.25,,,,,,,,
W01E112258,1.375,,,,,,,,,,,,,,,,,
W01E120173,,,,1.8,,,,,,,,,,,,,,
W01E114413,,,,1.5,,,,,,,,,,,,,,
W01E120911,,,,,,,,,,1.3333333333333333,,,,,,,,
W01E131236,1.0,,,,,,,,,,,,,,,,,
W01E120509,1.5,,,,,,,,,,,,,,,,,
W01E122727,,,,,,,,,,,,,8.705882352941176,,,,,
W01Y104043,,,,,,,,,,1.4285714285714286,,,,,,,,
W01E107059,,,,,,,,,,1.5714285714285714,,,,,,,,
W01E110072,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E133464,,,,,,,1.25,,,,,,,,,,,
W01E119344,,,,,,,,,,,,,1.4,,,,,
W01E106810,1.5,,,,,,,,,,,,,,,,,
W01E111931,,,,3.4,,,,,,,,,,,,,,
W01E132103,,,,,,,,,,1.4166666666666667,,,,,,,,
W01E128440,,,,,,,,,,1.9090909090909092,,,,,,,,
W01E110307,,,,1.4,,,,,,,,,,,,,,
W01E106736,1.4,,,,,,,,,,,,,,,,,
W01E134540,,,,,,,1.3333333333333333,,,,,,,,,,,
W01E107124,1.4444444444444444,,,,,,,,,,,,,,,,,
W01E106493,,,,,,,,,,1.0,,,,,,,,
W01E123386,1.375,,,,,,,,,,,,,,,,,
W01E117075,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E106365,,,,,,,,,,,,,1.5555555555555556,,,,,
W01E101926,1.5333333333333334,,,,,,,,,,,,,,,,,
W01E129998,,,,,,,,,,,,,2.1,,,,,
W01E130728,,,,,,,,,,,,,,,,1.0,,
W01E117860,,,,2.25,,,,,,,,,,,,,,
W01E106452,,,,,,,,,,1.0,,,,,,,,
W01E128624,,,,,,,2.6666666666666665,,,,,,,,,,,
W01E131363,,,,,,,1.5,,,,,,,,,,,
W01E126734,,,,,,,,,,,,,,,,1.5714285714285714,,
W01E100224,,,,,,,,,,,,,,,,1.0,,
W01E133479,,,,,,,,,,1.9166666666666667,,,,,,,,
W01E115008,,,,,,,,,,,,,1.5,,,,,
W01E100975,1.8461538461538463,,,,,,,,,,,,,,,,,
W01E105943,,,,,,,,,,1.0,,,,,,,,
W01Y104794,,,,,,,,,,,,,1.75,,,,,
W01E120047,,,,,,,,,,2.3333333333333335,,,,,,,,
W01E121749,,,,,,,,,,2.0,,,,,,,,
W01E131527,,,,,,,,,,,,,1.1666666666666667,,,,,
W01E129433,,,,,,,,,,,,,2.1875,,,,,
W01E109834,,,,1.8333333333333333,,,,,,,,,,,,,,
W01E101937,,,,,,,,,,1.5,,,,,,,,
W01E120167,,,,1.3076923076923077,,,,,,,,,,,,,,
W01E102705,,,,,,,1.25,,,,,,,,,,,
W01E127414,2.0,,,,,,,,,,,,,,,,,
W01E130217,1.4285714285714286,,,,,,,,,,,,,,,,,
W01E112791,1.0,,,,,,,,,,,,,,,,,
W01E131238,2.0,,,,,,,,,,,,,,,,,
W01E125685,,,,2.9375,,,,,,,,,,,,,,
W01E104270,,,,,,,,,,,,,,,,3.8181818181818183,,
W01E133699,,,,,,,,,,2.588235294117647,,,,,,,,
W01E120678,,,,,,,2.5454545454545454,,,,,,,,,,,
W01E130817,4.809523809523809,,,,,,,,,,,,,,,,,
W01E129174,,,,,,,2.5555555555555554,,,,,,,,,,,
W01E119587,1.5454545454545454,,,,,,,,,,,,,,,,,
W01E129792,,,,,,,,,,,,,1.4285714285714286,,,,,
W01E119581,1.75,,,,,,,,,,,,,,,,,
W01E124997,1.8461538461538463,,,,,,,,,,,,,,,,,
W01E109835,1.3636363636363635,,,,,,,,,,,,,,,,,
W01E121201,2.5,,,,,,,,,,,,,,,,,
W01E127783,,,,,,,1.4285714285714286,,,,,,,,,,,
W01E123777,,,,,,,,,,,,,,,,1.5,,
W01E106739,,,,,,1.0,,,,,,,,,,,,
W01E119534,,,,3.4210526315789473,,,,,,,,,,,,,,
W01E126714,1.5,,,,,,,,,,,,,,,,,
W01E111718,,,,1.0,,,,,,,,,,,,,,
W01E122898,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E101563,,,,,,,,,,1.0,,,,,,,,
W01E113463,1.5,,,,,,,,,,,,,,,,,
W01E128346,,,1.0,,,,,,,,,,,,,,,
W01E131973,5.076923076923077,,,,,,,,,,,,,,,,,
W01E121056,,,,,,,,,,,,,1.8571428571428572,,,,,
W01E112845,1.0,,,,,,,,,,,,,,,,,
W01E125921,,,,,,,,,,,,,1.5,,,,,
W01E111935,,,,,,,,,,1.2727272727272727,,,,,,,,
W01E128658,,,,,,,,,,,,,1.25,,,,,
W01E109277,,,,,,,,,,,,,,,,1.6666666666666667,,
W01E103985,,,,,,,,,,1.6,,,,,,,,
W01E101726,1.2,,,,,,,,,,,,,,,,,
W01E100015,,,,1.4,,,,,,,,,,,,,,
W01E102948,,,,,,,,,,1.0,,,,,,,,
W01E134577,,,,,,,,,,,,,1.0,,,,,
W01E130104,,,,,,,,,,1.7,,,,,,,,
W01E118817,,,,,,,2.625,,,,,,,,,,,
W01E124426,,,,,,,,,,1.75,,,,,,,,
W01E116552,,,,,,,,,,,,,1.4,,,,,
W01E115312,,,,,,,1.25,,,,,,,,,,,
W01Y103644,,,,,,,1.0,,,,,,,,,,,
W01E103323,,,,,,,1.8461538461538463,,,,,,,,,,,
W01E134003,1.5,,,,,,,,,,,,,,,,,
W01E126827,,,,,,,1.3333333333333333,,,,,,,,,,,
W01E132643,1.0,,,,,,,,,,,,,,,,,
W01E105481,1.5454545454545454,,,,,,,,,,,,,,,,,
W01E134444,,,,1.1428571428571428,,,,,,,,,,,,,,
W01E107060,,,,,,,,,,2.4,,,,,,,,
W01E125197,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E131624,,,,,,,2.3333333333333335,,,,,,,,,,,
W01E107964,,,,,,,,,,,,,2.0625,,,,,
W01E113971,,,,,,,,,,,,,,,,1.4545454545454546,,
W01E111022,,,,,,,,,,1.0,,,,,,,,
W01E108062,,,,,,,2.4444444444444446,,,,,,,,,,,
W01E101348,,,,2.0,,,,,,,,,,,,,,
W01E107863,,,,,,,2.2,,,,,,,,,,,
W01E104645,,,,,,1.0,,,,,,,,,,,,
W01E130581,,,,,,,,,,1.3333333333333333,,,,,,,,
W01E118641,,,,,,,1.0,,,,,,,,,,,
W01E127464,1.0,,,,,,,,,,,,,,,,,
W01E132286,2.533333333333333,,,,,,,,,,,,,,,,,
W01E131323,,,,,,,,,,,,,,,,1.0,,
W01E101413,,,,,,,,,1.0,,,,,,,,,
W01E116278,1.5454545454545454,,,,,,,,,,,,,,,,,
W01E131585,,,,,,,,,,,,,1.4166666666666667,,,,,
W01E112975,,,,,,,,,1.0,,,,,,,,,
W01E124052,,,,,,,1.8571428571428572,,,,,,,,,,,
W01Y102349,,,,,,,2.9583333333333335,,,,,,,,,,,
W01E133854,3.0,,,,,,,,,,,,,,,,,
W01E132220,,,,2.625,,,,,,,,,,,,,,
W01E107444,,,,,,,1.4,,,,,,,,,,,
W01E127266,,,,,,,,,,1.8888888888888888,,,,,,,,
W01E130817,,,,,,,2.761904761904762,,,,,,,,,,,
W01E105688,1.5,,,,,,,,,,,,,,,,,
W01E113765,,,,1.0,,,,,,,,,,,,,,
W01E130429,,,,,,,2.6666666666666665,,,,,,,,,,,
W01Y103932,,,,,,1.0,,,,,,,,,,,,
W01E102651,,,,3.380952380952381,,,,,,,,,,,,,,
W01E133495,,,,,,,1.5555555555555556,,,,,,,,,,,
W01E124832,,,,,,,,,,,,,,,,1.375,,
W01E118523,,,,2.5,,,,,,,,,,,,,,
W01E122816,,,,,,,,,,1.5714285714285714,,,,,,,,
W01E122665,,,,,,,,,,1.5,,,,,,,,
W01E110055,,,,,,,,,,1.0,,,,,,,,
W01E110611,1.6470588235294117,,,,,,,,,,,,,,,,,
W01E113288,,,,1.4166666666666667,,,,,,,,,,,,,,
W01E101767,,,,,,,1.5333333333333334,,,,,,,,,,,
W01E129268,1.5,,,,,,,,,,,,,,,,,
W01E110390,,,,,,,,,,1.0,,,,,,,,
W01E131046,2.0,,,,,,,,,,,,,,,,,
W01E106628,,,,1.625,,,,,,,,,,,,,,
W01E107474,,,,,,,,,,,,,,,,1.8,,
W01Y102767,,,,,,,,,,,,,,,,1.5,,
W01E121853,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E103381,,,,,,,,,,,,,,,,1.0,,
W01E116681,,,1.0,,,,,,,,,,,,,,,
W01E109230,,,,,,,1.3846153846153846,,,,,,,,,,,
W01E104251,,,,1.4285714285714286,,,,,,,,,,,,,,
W01E109357,,,,,,,,,,,,,,,1.0,,,
W00699,2.0,,,,,,,,,,,,,,,,,
W01E105162,1.0,,,,,,,,,,,,,,,,,
W01E103268,,,,,,,,,,,,,,,,1.5,,
W01Y102878,,,,,,,,,,,,,,,1.0,,,
W01E108969,,,,,,,,,,,,,,,,2.6,,
W01E113066,,,,1.0,,,,,,,,,,,,,,
W01E118694,,,,,,,,,,1.5,,,,,,,,
W01E131199,,,,,,,,,,2.25,,,,,,,,
W01E131721,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E134564,1.6666666666666667,,,,,,,,,,,,,,,,,
W01E132871,1.4166666666666667,,,,,,,,,,,,,,,,,
W01E134558,2.6,,,,,,,,,,,,,,,,,
W01E120976,,,,,,,1.0,,,,,,,,,,,
W01Y103674,,,,2.0,,,,,,,,,,,,,,
W01E106575,,,,,,,,,,1.8571428571428572,,,,,,,,
W01E113613,,,,,,,1.0,,,,,,,,,,,
W01E102533,,,,,,,,,,1.0,,,,,,,,
W01E113364,2.1818181818181817,,,,,,,,,,,,,,,,,
W01E126962,,,,,,,,,,,,,1.5,,,,,
W01Y102149,1.0,,,,,,,,,,,,,,,,,
W01E127447,,,,2.0,,,,,,,,,,,,,,
W01E133104,,,,1.5294117647058822,,,,,,,,,,,,,,
W01E121745,,,,2.5,,,,,,,,,,,,,,
W01E100715,2.933333333333333,,,,,,,,,,,,,,,,,
W01E123600,1.375,,,,,,,,,,,,,,,,,
W01E133729,,,,,,,,,,1.4,,,,,,,,
W01E103923,,,,3.263157894736842,,,,,,,,,,,,,,
W01E103928,,,,,,,,,,,,,3.1904761904761907,,,,,
W01E102156,,,,1.4615384615384615,,,,,,,,,,,,,,
W01E133843,,,,,,,,,1.0,,,,,,,,,
W01E131441,,,,1.3333333333333333,,,,,,,,,,,,,,
W01E111972,,,,,,,,,,,,,1.7777777777777777,,,,,
W01E128381,1.25,,,,,,,,,,,,,,,,,
W01E124963,,,,2.230769230769231,,,,,,,,,,,,,,
W01E109973,1.0,,,,,,,,,,,,,,,,,
W01E121985,1.6,,,,,,,,,,,,,,,,,
W01E121498,,,,,,,,,,,,,1.9,,,,,
W01Y104790,,,,,,,2.823529411764706,,,,,,,,,,,
W01E127800,,,,1.3333333333333333,,,,,,,,,,,,,,
W01E132102,,,,2.0,,,,,,,,,,,,,,
W01E123516,1.6,,,,,,,,,,,,,,,,,
W01E113476,1.2,,,,,,,,,,,,,,,,,
W01E122774,,,,,,,,,,,,,,,,1.0,,
W01E113029,,,,,,,,,,,,,1.0,,,,,
W01E129979,,,,,,,,,,1.4545454545454546,,,,,,,,
W01E100595,,,,,,,,,,,,,2.0,,,,,
W01E102902,,,,,,,4.25,,,,,,,,,,,
W01E134413,,,,,,,,,,,,,1.3333333333333333,,,,,
W01Y101533,1.4166666666666667,,,,,,,,,,,,,,,,,
W01E101248,,,,,,,2.8666666666666667,,,,,,,,,,,
W01E115307,,,,,,,,,,,,,1.0,,,,,
W01E133224,,,,,,,1.6666666666666667,,,,,,,,,,,
W01E130972,2.7142857142857144,,,,,,,,,,,,,,,,,
W01E130401,,,,,,,2.0,,,,,,,,,,,
W01E132045,,,,,,,,,,1.2777777777777777,,,,,,,,
W01E110896,2.2222222222222223,,,,,,,,,,,,,,,,,
W01E131897,,,,1.5384615384615385,,,,,,,,,,,,,,
W01Y103980,,,,,,,,,,,,,3.0,,,,,
W01E108196,1.0,,,,,,,,,,,,,,,,,
W01E134113,3.7142857142857144,,,,,,,,,,,,,,,,,
W01E123832,,,,,,,,,,,,,1.0,,,,,
W01E113999,3.090909090909091,,,,,,,,,,,,,,,,,
W01E114398,,,,,,,,,,,,,,,,2.0,,
W01E104175,,,,,,,1.125,,,,,,,,,,,
W01E104204,,,,,,,2.4285714285714284,,,,,,,,,,,
W01E111724,,,,1.4444444444444444,,,,,,,,,,,,,,
W01E127268,1.5454545454545454,,,,,,,,,,,,,,,,,
W01E121183,,,,,,,,,,,,,1.6153846153846154,,,,,
W01E118662,,,,,,,1.0,,,,,,,,,,,
W01E109428,,,,,,,1.5,,,,,,,,,,,
W01E127351,,,,,,,1.0,,,,,,,,,,,
W01E126304,,,,,,1.0,,,,,,,,,,,,
W01E128237,,,,,,,,,,,,,2.4166666666666665,,,,,
W01E113469,,,,2.588235294117647,,,,,,,,,,,,,,
W01E124569,,,,,,,1.9411764705882353,,,,,,,,,,,
W01E133260,,,,1.25,,,,,,,,,,,,,,
W01E115926,,,,,,,,,,1.5,,,,,,,,
W01E107244,2.2222222222222223,,,,,,,,,,,,,,,,,
W01E117636,,,,,,,,,,,,,,,,1.9,,
W01E132795,,,,,,,,,,,,,3.111111111111111,,,,,
W01E105884,,,,,,1.6521739130434783,,,,,,,,,,,,
W01E126511,,,,,,,,,,,,,1.0,,,,,
W01E127229,,,,,,,1.75,,,,,,,,,,,
W01E132739,,,,,,,,,,,,,1.6,,,,,
W01E120261,,,,,,,1.8571428571428572,,,,,,,,,,,
W01E107745,1.0,,,,,,,,,,,,,,,,,
W01E131672,,,,,,,,,,1.6666666666666667,,,,,,,,
W01E109352,1.5714285714285714,,,,,,,,,,,,,,,,,
W01E129995,,,,,,,,,,1.3125,,,,,,,,
W01E119302,,,,,,,,,,1.4,,,,,,,,
W01E133505,1.5555555555555556,,,,,,,,,,,,,,,,,
W01E107055,,,,,,,,,,,,,,,,,,1.0
W01E124052,,,,,,,,,,2.2857142857142856,,,,,,,,
W01E112434,,,,,,,2.9473684210526314,,,,,,,,,,,
W01E132265,,,,,,,,,,,,,1.3333333333333333,,,,,
W01E128502,,,,,,,,,,,,,,,,1.75,,
W01E132471,,,,,,,,,,,,,1.7777777777777777,,,,,
W01E121697,,,,1.0,,,,,,,,,,,,,,
W01Y104403,,,,,,,,,,,,,,,,1.8333333333333333,,
W01E127479,,,,,,,,,,,,,1.0,,,,,
W01E118659,,,,,,,5.0,,,,,,,,,,,
W01E100074,,,,9.5625,,,,,,,,,,,,,,
W01E131185,1.1818181818181819,,,,,,,,,,,,,,,,,
W01E129503,,,,,,,1.25,,,,,,,,,,,
W01E110875,1.8,,,,,,,,,,,,,,,,,
W01E132329,,,,,,,,,,,,,1.4545454545454546,,,,,
W01E126227,,,,,,,,,,,,,1.9166666666666667,,,,,
W01E127669,,,1.0,,,,,,,,,,,,,,,
W01E105822,,,,,,,,,,1.8461538461538463,,,,,,,,
W01E108143,,,,,,,1.0,,,,,,,,,,,
W01Y104067,,,,1.1,,,,,,,,,,,,,,
W01E130171,,,,,,,,,,2.0,,,,,,,,
W01E128975,,,,,,,,,,4.333333333333333,,,,,,,,
W01E130822,,,,,,,,,,,,,7.636363636363637,,,,,
W01E121049,,,,,,,,,,,,,,,,,,1.0
W01E122339,,,,,,,,,,,,,,,,1.25,,
W01E118467,,,,,,,,,,,,,,,,1.6,,
W01E128843,,,,,,,,,,,,1.0,,,,,,
W01E113589,,,,,,,,,,,,,,,,1.9,,
W01E119587,,,,,,,,,,,,,,,,2.0,,
W01E130876,,,,,,,,,,1.5,,,,,,,,
W01E115142,,,,,,,,,,,,,1.4,,,,,
W01E132553,,,,1.8,,,,,,,,,,,,,,
W01E128670,,,,,,,,,,,,,1.8181818181818181,,,,,
W01E120906,,,,,,,,,,1.0,,,,,,,,
W01E127671,1.75,,,,,,,,,,,,,,,,,
W01E127491,,,,2.15,,,,,,,,,,,,,,
W01E127798,,,,1.3333333333333333,,,,,,,,,,,,,,
W01Y104898,,,,,,,,,,,,,,,,1.0,,
W01E131011,,,,,,,2.823529411764706,,,,,,,,,,,
W01E109700,,,,,,,,,,1.2222222222222223,,,,,,,,
W01E106225,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E105927,1.2,,,,,,,,,,,,,,,,,
W01E134362,,,,,,,,,,,,,1.3,,,,,
W01E109039,,,,,,,,,,,,,1.5454545454545454,,,,,
W01E134411,,,,,,,,,,,,,,,,2.625,,
W01E110091,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E126158,1.8461538461538463,,,,,,,,,,,,,,,,,
W01E105099,,,,,,,,,,,,,1.2,,,,,
W01E130940,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E110060,2.3333333333333335,,,,,,,,,,,,,,,,,
W01E132598,1.5,,,,,,,,,,,,,,,,,
W01Y102349,3.0,,,,,,,,,,,,,,,,,
W01E119404,,,,,,,,,,,,,,,,1.0,,
W01E121109,,,,,,,1.1428571428571428,,,,,,,,,,,
W01E132001,,,,,,,2.6,,,,,,,,,,,
W01E118635,,,,,,,,,,,,,,,,1.5,,
W01E108480,,,,2.6842105263157894,,,,,,,,,,,,,,
W01E125369,1.6666666666666667,,,,,,,,,,,,,,,,,
W01E107371,,,,1.375,,,,,,,,,,,,,,
W01Y102325,,,,,,,,,,,,,,,,2.0,,
W01E107840,,,,1.0,,,,,,,,,,,,,,
W01E120891,1.2857142857142858,,,,,,,,,,,,,,,,,
W01E129148,,,,2.3333333333333335,,,,,,,,,,,,,,
W01E104643,,,,,,,8.615384615384615,,,,,,,,,,,
W01E119421,,,,1.3076923076923077,,,,,,,,,,,,,,
W01E103820,,,,,,,1.0,,,,,,,,,,,
W01E129979,1.2222222222222223,,,,,,,,,,,,,,,,,
W01E111157,,,,,,,,,,1.4285714285714286,,,,,,,,
W01E125177,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E105803,1.0,,,,,,,,,,,,,,,,,
W01E106733,,,,,,,,,,,,,,,,1.0,,
W01E116384,,,,1.375,,,,,,,,,,,,,,
W01E121098,,,,,,,,,,,,,,,,1.8,,
W01E101248,2.142857142857143,,,,,,,,,,,,,,,,,
W01E124109,,,,1.3333333333333333,,,,,,,,,,,,,,
W01Y103109,,,,,,,,,,2.3333333333333335,,,,,,,,
W01E120812,,,,1.8333333333333333,,,,,,,,,,,,,,
W01E122128,,,,,,,,,,,,,1.3333333333333333,,,,,
W01E110355,,,,1.0,,,,,,,,,,,,,,
W01E120532,,,,,,,1.125,,,,,,,,,,,
W01E132323,,,,2.0,,,,,,,,,,,,,,
W01E118625,,,,,,,,,,1.1428571428571428,,,,,,,,
W01E130967,2.3333333333333335,,,,,,,,,,,,,,,,,
W01E112720,,,,,,,2.5,,,,,,,,,,,
W01Y102523,,,,,,,,,,2.0,,,,,,,,
W01E119143,,,,1.5333333333333334,,,,,,,,,,,,,,
W01E111322,,,,,,,,,,,,,2.272727272727273,,,,,
W01E123922,,,,,,,,,,,,1.0,,,,,,
W01E107289,,,,,,,,,1.0,,,,,,,,,
W01E123376,1.25,,,,,,,,,,,,,,,,,
W01E103921,,,,,,,,,,,,,,,,1.2,,
W01E122935,1.2,,,,,,,,,,,,,,,,,
W01E125687,,,,1.8571428571428572,,,,,,,,,,,,,,
W01E115838,2.238095238095238,,,,,,,,,,,,,,,,,
W01E105498,1.0,,,,,,,,,,,,,,,,,
W01E133347,,,,,,,,,,1.2,,,,,,,,
